epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,504.297,1.00575,1.22106,1.05153,1,0.6475,0.995,0.61379,1.3617,2.83835,1.06442,0.0011486,0.0011486,0.0011486
45,513.11,0.80313,0.99944,0.96819,1,0.6475,0.995,0.61379,1.3617,2.83835,1.06442,0.0011288,0.0011288,0.0011288
46,521.941,0.86822,1.02586,0.97612,1,0.71294,0.995,0.65254,1.35724,2.73648,1.07043,0.001109,0.001109,0.001109
47,530.694,0.88149,1.03237,0.95448,1,0.9631,0.995,0.6082,1.40853,2.09815,1.04893,0.0010892,0.0010892,0.0010892
48,539.191,0.93599,1.126,1.06048,1,0.97803,0.995,0.6082,1.39864,1.81455,1.04331,0.0010694,0.0010694,0.0010694
49,547.758,0.92252,1.11462,0.99858,1,0.97803,0.995,0.6082,1.39864,1.81455,1.04331,0.0010496,0.0010496,0.0010496
50,556.473,0.85515,1.0195,0.96007,1,0.96429,0.995,0.56424,1.41255,2.1064,1.019,0.0010298,0.0010298,0.0010298
51,565.119,0.96788,1.08252,1.03849,1,0.94298,0.995,0.63054,1.54377,2.30913,1.11671,0.00101,0.00101,0.00101
52,573.931,0.93183,1.01772,0.97435,1,0.95024,0.995,0.5087,1.58685,2.26732,1.16723,0.0009902,0.0009902,0.0009902
53,583.052,0.86582,0.92981,0.9652,1,0.95024,0.995,0.5087,1.58685,2.26732,1.16723,0.0009704,0.0009704,0.0009704
54,592.606,0.98177,1.02382,1.00659,1,0.96825,0.995,0.5087,1.57515,1.96999,1.11839,0.0009506,0.0009506,0.0009506
55,601.651,0.88476,0.95197,0.97456,0.97921,0.66667,0.9125,0.5475,1.48732,1.72907,1.08594,0.0009308,0.0009308,0.0009308
56,611.12,0.86729,1.04223,0.97368,1,0.97295,0.995,0.61379,1.51176,1.89829,1.2003,0.000911,0.000911,0.000911
57,620.046,0.95553,1.01304,1.0211,1,0.97295,0.995,0.61379,1.51176,1.89829,1.2003,0.0008912,0.0008912,0.0008912
58,629.213,0.81363,0.97553,0.96343,1,0.97088,0.995,0.53107,1.57053,2.0701,1.28843,0.0008714,0.0008714,0.0008714
59,638.175,0.95941,1.09457,1.05534,1,0.96576,0.995,0.57544,1.44167,1.95513,1.18698,0.0008516,0.0008516,0.0008516
60,647.635,0.93767,0.99416,0.91951,1,0.96236,0.995,0.59223,1.23138,1.94866,1.05039,0.0008318,0.0008318,0.0008318
61,656.863,0.80759,0.96119,0.9743,1,0.96236,0.995,0.59223,1.23138,1.94866,1.05039,0.000812,0.000812,0.000812
62,666.526,0.86104,1.00132,0.97333,1,0.96095,0.995,0.68574,1.21277,1.92088,0.96699,0.0007922,0.0007922,0.0007922
63,676.314,1.00796,0.99297,1.02713,1,0.96683,0.995,0.61982,1.32775,1.88099,0.99385,0.0007724,0.0007724,0.0007724
64,688.123,0.81482,0.87129,0.98922,1,0.97062,0.995,0.56469,1.42484,1.86106,1.05531,0.0007526,0.0007526,0.0007526
